,account_no,acres,decimals,hectare,tt_area_acre
0,201070011000099,8888888.0,21.0,0.0,8888888.21
1,2403010763001786,1119113.0,53.0,0.0,1119113.53
2,3504201358000088,930000.0,0.0,0.0,930000.0
3,2301020246000026,616375.0,0.0,24655.0,616375.0
4,2301020246000025,616375.0,0.0,2465.5,616375.0
5,3504201358000090,550000.0,36.0,0.0,550000.36
6,3001020366000021,541011.0,2.0,0.0,541011.02
7,2301020246000026,512375.0,0.0,20495.0,512375.0
8,2301020246000025,438875.0,0.0,1755.5,438875.0
9,2301081162000920,322210.0,2.0,0.0,322210.02
10,3504201358000087,170000.0,1000.0,0.0,170010.0
11,3504201387000009,100000.0,2.0,0.0,100000.02
12,2301071031000177,99656.0,0.0,0.0,99656.0
13,701020183000023,94121.51,0.0,0.0,94121.51
14,701010064001675,92018.0,0.0,0.0,92018.0
15,2301020246000025,83750.0,0.0,0.0,83750.0
16,1102050178000850,80000.0,6000.0,34803.0,80060.0
17,2301081157000639,0.0,7899260.0,0.0,78992.6
18,102040627000181,2.0,7800000.0,0.0,78002.0
19,1102050192000245,70000.0,3800.0,29866.0,70038.0
20,1301080714000305,69615.9,4.0,0.0,69615.93999999999
21,3504231925000084,66100.0,5515.0,0.0,66155.15
22,2001040278000019,0.0,6319535.0,0.0,63195.35
23,702010521000104,62818.0,10.0,0.0,62818.1
24,2902010889000014,61000.0,0.0,2.4687,61000.0
25,2301020246000026,55750.0,0.0,223.0,55750.0
26,604100565000057,52311.0,31.0,1.0,52311.31
27,2403010832000163,0.0,5111310.0,0.0,51113.1
28,3101110900000027,50000.0,11.0,0.0,50000.11
29,3501042709000323,0.0,4621207.0,0.0,46212.07
30,2301020246000025,45500.0,0.0,182.0,45500.0
31,702040690001136,40202.0,0.0,0.0,40202.0
32,702030670000033,40170.8,0.0,0.0,40170.8
33,2301020246000026,35500.0,0.0,142.0,35500.0
34,2301020246000025,35500.0,0.0,142.0,35500.0
35,3501020300000189,0.26,3501020.0,0.0,35010.46
36,3501020300000193,0.0,3501020.0,0.0,35010.2
37,702010526000629,34377.0,8.0,0.0,34377.08
38,101020232000065,33333.33,33333.11,111.1,33666.661100000005
39,3301060365000388,9.0,3333333.0,0.0,33342.33
40,1303031141000139,33333.33,3.0,0.0,33333.36
41,2301020245000407,0.0,3333333.0,0.0,33333.33
42,702010753000370,32323.23,23232.32,323.2323,32555.5532
43,3203151774000017,0.0,3203151.0,0.0405,32031.51
44,701030192000210,30606.0,0.0,0.0,30606.0
45,3504160759000134,0.0,3025000.0,0.0,30250.0
46,1102050178000850,30000.0,2000.0,12950.0,30020.0
47,3701021005000125,0.0,3000000.0,0.0,30000.0
48,102040627000181,20000.0,500000.0,0.0,25000.0
49,3504201387000290,23000.0,70.25,0.0,23000.7025
50,1401021399000064,21202.12,0.0,0.0,21202.12
51,2902010889000011,21200.0,0.0,0.0,21200.0
52,501030167000091,20212.02,12021.2,212.0212,20332.232
53,1102040109000060,20212.01,0.12,0.0,20212.011199999997
54,1102050190000042,20000.0,8200.0,3318.0,20082.0
55,1102050191000638,20000.0,4900.0,10074.0,20049.0
56,2902010889000014,18700.0,0.0,8580.0,18700.0
57,3504170924000371,18540.0,46.5,0.0,18540.465
58,2601020227000159,0.0,1751452.0,0.0,17514.52
59,3502082148000191,17000.0,42.0,0.0,17000.42
60,702040693001987,16050.0,0.0,0.0,16050.0
61,601030199000189,15706.0,41.0,0.0,15706.41
62,3504201358000047,0.0,1500000.0,0.0,15000.0
63,702010522000241,14646.0,0.0,0.0,14646.0
64,3501042666000321,0.0,1350309.0,0.0,13503.09
65,2902010889000010,13300.0,0.0,0.0,13300.0
66,1401090250002854,0.0,1324336.0,8.0,13243.36
67,2403010763001788,13113.0,27.0,0.0,13113.27
68,2201220165000011,12313.13,13131.31,313.1311,12444.443099999999
69,604100566000215,11473.0,9.0,0.0,11473.09
70,3002030887000491,11111.11,11111.11,111.1111,11222.2211
71,3002041088000015,11111.11,11111.11,111.1111,11222.2211
72,1301100856000915,11111.11,11111.11,111.1111,11222.2211
73,502020381000003,11111.11,11111.11,111.1111,11222.2211
74,1101030111000008,11111.11,11111.11,0.0,11222.2211
75,3002020646000435,11111.11,11111.0,0.0,11222.220000000001
76,1401091692000131,11111.11,11.0,0.0,11111.220000000001
77,3002040953000138,11111.11,6.0,0.0,11111.17
78,701010025000868,11111.11,0.0,0.0,11111.11
79,101010278000506,11111.11,0.0,0.0,11111.11
80,103050149000131,11111.11,0.0,0.0,11111.11
81,3002020640001134,11111.1,0.0,0.0,11111.1
82,801060548000371,11111.0,0.0,0.0,11111.0
83,1101030103000175,11111.0,0.0,0.0,11111.0
84,1402141680000061,11111.0,0.0,0.0,11111.0
85,3503252212000022,10405.0,0.0,0.0,10405.0
86,2902010889000007,10100.0,4087.0,0.0,10140.87
87,1102050197000056,10000.0,2800.0,4937.0,10028.0
88,1102050192000082,10000.0,1900.0,4816.0,10019.0
89,102020977000082,10000.0,20.0,0.0,10000.2
90,1101020220000041,10000.0,0.09,0.4412,10000.0009
91,601030590000023,9711.0,24.0,0.0,9711.24
92,2902010889000005,9605.0,7804.0,0.0,9683.04
93,3503102507000293,0.0,952052.0,0.0,9520.52
94,3502082164000017,9470.0,2.34,0.0,9470.0234
95,2902010889000006,9350.0,7518.0,0.0,9425.18
96,701020094000055,9393.0,0.0,0.0,9393.0
97,3502082164000032,9146.0,226.0,0.0,9148.26
98,3502082148000165,9011.0,25.0,0.0,9011.25
99,3602120899000320,8900.0,26.0,0.0,8900.26
